ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-1,1494a260,ATA_Nat_01,P2AE_PBA_BT,PBA 11C650,2.0,PBA_BT,0.42,2.0,1.0,158.0,0.005316455696202532,Kotopounga,ATACORA,Travaux BT
HC-2,add9a08b,ATA_Nat_01,P2AE_PBA_BT,PBA 9A200,80.0,PBA_BT,0.42,79.0,0.9875,158.0,0.21000000000000002,Kotopounga,ATACORA,Travaux BT
HC-3,f7e22a73,ATA_Nat_01,P2AE_PBA_BT,PBA 9A650,59.0,PBA_BT,0.42,60.0,1.0,158.0,0.15683544303797467,Kotopounga,ATACORA,Travaux BT
HC-4,9daac817,ATA_Nat_01,P2AE_PBA_BT,PBA 9C650,16.0,PBA_BT,0.42,16.0,1.0,158.0,0.042531645569620254,Kotopounga,ATACORA,Travaux BT
HC-5,d32b7c73,ATA_Nat_01,P2AE_PBA_BT,PBA 9C800,1.0,PBA_BT,0.42,1.0,1.0,158.0,0.002658227848101266,Kotopounga,ATACORA,Travaux BT
HC-6,7ca220cf,ATA_Nat_01,P2AE_PBA_HTA,PBA 11A1250,1.0,PBA_HTA,0.3,1.0,1.0,32.0,0.009375,Kotopounga,ATACORA,Travaux HTA
HC-7,f25d8a31,ATA_Nat_01,P2AE_PBA_HTA,PBA 12A800,1.0,PBA_HTA,0.3,1.0,1.0,32.0,0.009375,Kotopounga,ATACORA,Travaux HTA
HC-8,f44df385,ATA_Nat_01,P2AE_PBA_HTA,PBA 13A400,16.0,PBA_HTA,0.3,10.0,0.625,32.0,0.09375,Kotopounga,ATACORA,Travaux HTA
HC-9,2c9bad34,ATA_Nat_01,P2AE_PBA_HTA,PBA 13C800,13.0,PBA_HTA,0.3,9.0,0.6923076923076923,32.0,0.08437499999999999,Kotopounga,ATACORA,Travaux HTA
HC-10,6f531d60,ATA_Nat_01,P2AE_Cable_HTA,ASTER 54mm²,330.0,Cable_HTA,0.3333,236.63,0.7170606060606061,330.0,0.2389963,Kotopounga,ATACORA,Travaux HTA
HC-11,e2b7b307,ATA_Nat_01,P2AE_Cable_BT,PRC 50mm²,5080.0,Cable_BT,0.3111,3499.0,0.6887795275590551,7680.0,0.1417368359375,Kotopounga,ATACORA,Travaux BT
HC-12,4de0fea1,ATA_Nat_01,P2AE_Cable_BT,PRC 70mm²,2600.0,Cable_BT,0.3111,0.0,0.0,7680.0,0.0,Kotopounga,ATACORA,Travaux BT
