ID_Localite,ID_Projet,ID_Geo,Numero,Nom_Geo_1,Nom_Geo_2,Localite,Actif
DON_Bas_01,P2AE,,1,DONGA,Bassila,Partago,True
DON_Bas_02,P2AE,,2,DONGA,Bassila,Oké-Igboélé,True
DON_Bas_03,P2AE,,3,DONGA,Bassila,Akaradè,True
DON_Bas_04,P2AE,,4,DONGA,Bassila,Tchimbéri,True
DON_Djo_01,P2AE,,5,DONGA,Djougou,Founga,True
DON_Djo_02,P2AE,,6,DONGA,Djougou,Alfa-Kpara,True
DON_Djo_03,P2AE,,7,DONGA,Djougou,Vanhoui,True
DON_Djo_04,P2AE,,8,DONGA,Djougou,Nagatchori,True
DON_Djo_05,P2AE,,9,DONGA,Djougou,Danogou,True
DON_Oua_01,P2AE,,10,DONGA,Ouaké,Bohomdo,True
DON_Oua_02,P2AE,,11,DONGA,Ouaké,Komtcha,True
DON_Oua_03,P2AE,,12,DONGA,Ouaké,Itchodè,True
DON_Oua_04,P2AE,,13,DONGA,Ouaké,Talina,True
DON_Oua_05,P2AE,,14,DONGA,Ouaké,Trouncare Bas,True
ALI_Gog_01,P2AE,,15,ALIBORI,Gogounou,Wara,True
ALI_Gog_02,P2AE,,16,ALIBORI,Gogounou,Bagou-Sinkparou,True
ALI_Gog_03,P2AE,,17,ALIBORI,Gogounou,Bagou-Yankpanou,True
ALI_Gog_04,P2AE,,18,ALIBORI,Gogounou,Sori-Borowanrou,True
ALI_Gog_05,P2AE,,19,ALIBORI,Gogounou,Sori-Kpankpanrou,True
ALI_Kan_01,P2AE,,20,ALIBORI,Kandi,Kandi-fô,True
ALI_Kan_02,P2AE,,21,ALIBORI,Kandi,Albarika,True
ALI_Kan_03,P2AE,,22,ALIBORI,Kandi,Kéféré-Senté,True
ALI_Kan_04,P2AE,,23,ALIBORI,Kandi,Ganssoso-Gbiga,True
ALI_Kan_05,P2AE,,24,ALIBORI,Kandi,Soundou,True
ALI_Kan_06,P2AE,,25,ALIBORI,Kandi,Fafa,True
ATA_Nat_01,P2AE,,26,ATACORA,Natitingou,Kotopounga,True
ATA_Nat_02,P2AE,,27,ATACORA,Natitingou,Winkè,True
ATA_Nat_03,P2AE,,28,ATACORA,Natitingou,Yimporima,True
ATA_Nat_04,P2AE,,29,ATACORA,Natitingou,Kantaborifa,True
ATA_Nat_05,P2AE,,30,ATACORA,Natitingou,Ouroubouga,True
ATA_Nat_06,P2AE,,31,ATACORA,Natitingou,Perma-centre,True
ATA_Nat_07,P2AE,,32,ATACORA,Natitingou,Boriyouré,True
ATA_Nat_08,P2AE,,33,ATACORA,Natitingou,Ouroubonna,True
ATA_Nat_09,P2AE,,34,ATACORA,Natitingou,Dassakaté,True
ATA_Nat_10,P2AE,,35,ATACORA,Natitingou,Yokossi,True
ATA_Nat_11,P2AE,,36,ATACORA,Natitingou,Tchrimina,True
ATA_Nat_12,P2AE,,37,ATACORA,Natitingou,Kantchagoutamou,True
ATA_Nat_13,P2AE,,38,ATACORA,Natitingou,Sountchirantikou,True
ATA_Nat_14,P2AE,,39,ATACORA,Natitingou,Sossouna,True
BOR_Par_01,P2AE,,40,BORGOU,Parakou,Assagbinin-Baka,True
BOR_Par_02,P2AE,,41,BORGOU,Parakou,Banikani-Rose-croix,True
BOR_Par_03,P2AE,,42,BORGOU,Parakou,Zongo,True
BOR_Par_04,P2AE,,43,BORGOU,Parakou,Guerma,True
BOR_Par_05,P2AE,,44,BORGOU,Parakou,Bahmora,True
BOR_Par_06,P2AE,,45,BORGOU,Parakou,Bawé,True
BOR_Par_07,P2AE,,46,BORGOU,Parakou,Thian,True
BOR_Par_08,P2AE,,47,BORGOU,Parakou,Kpérou-Guéra,True
BOR_Par_09,P2AE,,48,BORGOU,Parakou,Okédama,True
BOR_Dal_01,P2AE,,49,BORGOU,N'Dali,Yankoï,True
BOR_Dal_02,P2AE,,50,BORGOU,N'Dali,Tounré,True
BOR_Dal_03,P2AE,,51,BORGOU,N'Dali,Komiguéa,True
BOR_Tcha_01,P2AE,,52,BORGOU,Tchaourou,Kpakpanin,True
BOR_Tcha_02,P2AE,,53,BORGOU,Tchaourou,Sakana-Kpéba,True
BOR_Tcha_03,P2AE,,54,BORGOU,Tchaourou,Kpessou,True
BOR_Tcha_04,P2AE,,55,BORGOU,Tchaourou,Barérou,True
