ID_Objectif,ID_Projet,ID_Geo,Nom_Geo_1,Nom_Geo_2,ID_Localite,ID_Tache,Designation,Quantite_Prevue,ID_Materiel
1494a260,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_BT,PBA 11C650,2.0,29ef61f5
add9a08b,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_BT,PBA 9A200,80.0,2ec17c4d
f7e22a73,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_BT,PBA 9A650,59.0,215ac167
9daac817,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_BT,PBA 9C650,16.0,9c6af0a4
d32b7c73,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_BT,PBA 9C800,1.0,526229bb
7ca220cf,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_HTA,PBA 11A1250,1.0,058e9b6a
f25d8a31,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_HTA,PBA 12A800,1.0,46cfa5f8
f44df385,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_HTA,PBA 13A400,16.0,cd39f595
2c9bad34,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_PBA_HTA,PBA 13C800,13.0,d6344558
6f531d60,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Cable_HTA,ASTER 54mm²,330.0,e9e0a228
e2b7b307,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Cable_BT,PRC 50mm²,5080.0,8e6b4946
4de0fea1,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Cable_BT,PRC 70mm²,2600.0,59dc5a38
c6dc8cba,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_DMT,Point Double DMT-CC,1.0,a4425df9
f4d44e61,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_IACM,IACM,1.0,21f4f4d7
5d1b86a4,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_TFO,Transformateur 160 kVA,1.0,8ae558c8
68f7a4c9,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_EP,EP,94.0,fbeef696
98c61d8c,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Terre,Mise à la terre,62.0,002f1a3d
27abf68c,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Fouille_HTA,Fouille réseau haute tension,31.0,f03cfc0b
9d0c29d7,P2AE,,ATACORA,Natitingou,ATA_Nat_01,P2AE_Fouille_BT,Fouille réseau basse tension,159.0,e221b25e
5e2740ac,P2AE,,ATACORA,Natitingou,ATA_Nat_02,P2AE_PBA_BT,PBA 11C650,2.0,29ef61f5
50d1465a,P2AE,f64fbc641,ATACORA,Natitingou,ATA_Nat_02,P2AE_PBA_BT,PBA 9A200,50.0,2ec17c4d
