Département,Commune,ID_Localite,Localite,P2AE_Fouille_HTA,P2AE_Fouille_BT,P2AE_PBA_HTA,P2AE_PBA_BT,P2AE_Cable_HTA,P2AE_Cable_BT,P2AE_IACM,P2AE_DMT,P2AE_TFO,P2AE_EP,P2AE_Terre
DONGA,Bassila,DON_Bas_01,Partago,3,139,4,138,153.0,6185,1,1,1,54,46
DONGA,Bassila,DON_Bas_02,Oké-Igboélé,42,216,44,213,1473.0,10190,2,2,2,86,64
DONGA,Bassila,DON_Bas_03,Akaradè,58,244,61,244,608.0,12860,3,3,3,115,79
DONGA,Bassila,DON_Bas_04,Tchimbéri,28,14,28,14,153.0,1813,1,1,0,23,16
DONGA,Djougou,DON_Djo_01,Founga,100,792,105,788,2235.0,38185,5,5,6,309,211
DONGA,Djougou,DON_Djo_02,Alfa-Kpara,11,71,11,71,20.0,3770,0,0,0,40,22
DONGA,Djougou,DON_Djo_03,Vanhoui,56,176,59,176,280.0,11138,3,3,2,83,77
DONGA,Djougou,DON_Djo_04,Nagatchori,26,94,27,94,2965.0,4827,1,1,1,60,44
DONGA,Djougou,DON_Djo_05,Danogou,28,76,29,75,160.0,4183,1,1,1,47,37
DONGA,Ouaké,DON_Oua_01,Bohomdo,14,110,14,106,100.0,4921,1,1,1,48,32
DONGA,Ouaké,DON_Oua_02,Komtcha,9,74,11,74,90.0,2790,1,1,1,34,26
DONGA,Ouaké,DON_Oua_03,Itchodè,4,134,5,114,100.0,4272,1,1,1,42,37
DONGA,Ouaké,DON_Oua_04,Talina,19,199,21,194,190.0,8292,2,2,2,80,55
DONGA,Ouaké,DON_Oua_05,Trouncare Bas,16,167,25,149,65.0,9010,1,1,1,84,34
ALIBORI,Gogounou,ALI_Gog_01,Wara,9,117,10,117,80.0,5040,1,1,1,57,39
ALIBORI,Gogounou,ALI_Gog_02,Bagou-Sinkparou,10,81,11,80,435.0,3425,1,1,1,45,27
ALIBORI,Gogounou,ALI_Gog_03,Bagou-Yankpanou,13,106,14,105,525.0,5420,1,1,1,52,36
ALIBORI,Gogounou,ALI_Gog_04,Sori-Borowanrou,20,308,22,306,480.0,14265,2,3,3,123,86
ALIBORI,Gogounou,ALI_Gog_05,Sori-Kpankpanrou,9,221,10,220,425.0,13131,1,1,1,84,64
ALIBORI,Kandi,ALI_Kan_01,Kandi-fô,20,49,21,47,80.0,3225,1,1,1,38,32
ALIBORI,Kandi,ALI_Kan_02,Albarika,14,253,16,251,350.0,11615,2,2,2,128,76
ALIBORI,Kandi,ALI_Kan_03,Kéféré-Senté,7,34,8,33,245.0,1175,1,1,1,11,11
ALIBORI,Kandi,ALI_Kan_04,Ganssoso-Gbiga,16,208,18,205,420.0,10370,2,2,2,94,74
ALIBORI,Kandi,ALI_Kan_05,Soundou,6,53,7,52,190.0,2180,1,1,1,25,23
ALIBORI,Kandi,ALI_Kan_06,Fafa,16,51,17,50,100.0,3360,1,1,1,27,20
ATACORA,Natitingou,ATA_Nat_01,Kotopounga,31,159,32,158,330.0,7680,1,1,1,94,62
ATACORA,Natitingou,ATA_Nat_02,Winkè,3,104,4,103,73.4,4180,1,1,1,46,34
ATACORA,Natitingou,ATA_Nat_03,Yimporima,83,530,86,539,2850.0,25510,3,3,3,242,171
ATACORA,Natitingou,ATA_Nat_04,Kantaborifa,11,166,12,165,330.0,6416,1,1,1,78,53
ATACORA,Natitingou,ATA_Nat_05,Ouroubouga,12,197,14,195,390.0,9938,2,2,2,108,77
ATACORA,Natitingou,ATA_Nat_06,Perma-centre,62,268,65,265,250.0,14221,3,3,3,115,95
ATACORA,Natitingou,ATA_Nat_07,Boriyouré,14,57,15,49,255.0,3435,1,1,1,40,31
ATACORA,Natitingou,ATA_Nat_08,Ouroubonna,3,203,4,202,100.0,7691,1,1,1,65,50
ATACORA,Natitingou,ATA_Nat_09,Dassakaté,5,51,6,50,100.0,2383,1,1,1,26,22
ATACORA,Natitingou,ATA_Nat_10,Yokossi,0,56,0,55,0.0,2248,0,0,0,15,15
ATACORA,Natitingou,ATA_Nat_11,Tchrimina,18,242,18,240,600.0,11448,2,2,2,97,78
ATACORA,Natitingou,ATA_Nat_12,Kantchagoutamou,40,35,42,33,1000.0,3350,2,2,2,32,25
ATACORA,Natitingou,ATA_Nat_13,Sountchirantikou,0,64,0,59,0.0,2390,0,0,0,29,21
ATACORA,Natitingou,ATA_Nat_14,Sossouna,20,105,21,104,110.0,6425,1,1,1,67,47
BORGOU,Parakou,BOR_Par_01,Assagbinin-Baka,13,148,13,150,330.0,5990,3,1,9,57,47
BORGOU,Parakou,BOR_Par_02,Banikani-Rose-croix,22,372,24,370,720.0,20850,2,2,2,119,102
BORGOU,Parakou,BOR_Par_03,Zongo,8,146,9,146,295.0,6350,1,1,1,44,43
BORGOU,Parakou,BOR_Par_04,Guerma,60,607,64,528,2987.0,25192,4,4,4,167,175
BORGOU,Parakou,BOR_Par_05,Bahmora,47,412,50,409,2620.0,19170,3,3,3,132,126
BORGOU,Parakou,BOR_Par_06,Bawé,57,454,60,460,2275.0,18630,3,3,3,171,114
BORGOU,Parakou,BOR_Par_07,Thian,93,1066,99,1066,3423.0,49229,6,6,6,366,316
BORGOU,Parakou,BOR_Par_08,Kpérou-Guéra,50,596,53,593,1990.0,27840,3,3,3,183,163
BORGOU,Parakou,BOR_Par_09,Okédama,64,758,69,782,3271.0,35332,5,5,5,229,216
BORGOU,N'Dali,BOR_Dal_01,Yankoï,15,90,15,90,0.0,6341,1,1,0,54,37
BORGOU,N'Dali,BOR_Dal_02,Tounré,10,363,11,362,388.24,17147,1,1,0,130,101
BORGOU,N'Dali,BOR_Dal_03,Komiguéa,0,242,0,242,0.0,10445,0,0,0,61,49
BORGOU,Tchaourou,BOR_Tcha_01,Kpakpanin,33,121,34,115,370.0,6370,1,1,1,52,40
BORGOU,Tchaourou,BOR_Tcha_02,Sakana-Kpéba,13,30,14,30,78.79,1830,1,1,1,20,19
BORGOU,Tchaourou,BOR_Tcha_03,Kpessou,7,73,7,73,1221.0,3258,0,0,0,29,27
BORGOU,Tchaourou,BOR_Tcha_04,Barérou,3,25,3,25,0.0,1324,0,0,0,13,10
