ID_Tache,Designation,Unité,ATACORA,ALIBORI,DONGA,BORGOU,Total
P2AE_Fouille_HTA,Fouille réseau haute tension,U,266.0,74.0,67.0,374.0,781.0
P2AE_Fouille_BT,Fouille réseau basse tension,U,2215.0,1327.0,1605.0,4853.0,10000.0
P2AE_PBA_HTA,PBA 11C650,U,17.0,11.0,14.0,18.0,60.0
P2AE_PBA_HTA,PBA 11A1250,U,18.0,13.0,7.0,24.0,62.0
P2AE_PBA_HTA,PBA 12A800,U,18.0,16.0,15.0,25.0,74.0
P2AE_PBA_HTA,PBA 12A1250,U,0.0,0.0,0.0,0.0,0.0
P2AE_PBA_HTA,PBA 13A400,U,66.0,17.0,58.0,196.0,337.0
P2AE_PBA_HTA,PBA 13C800,U,73.0,14.0,22.0,78.0,187.0
P2AE_PBA_HTA,PBA 13C1250,U,1.0,3.0,5.0,5.0,14.0
P2AE_PBA_HTA,PBA 14A1000,U,0.0,0.0,0.0,0.0,0.0
P2AE_PBA_HTA,PBA 14C1000,U,0.0,2.0,0.0,0.0,2.0
P2AE_PBA_HTA,PBA 14C1250,U,0.0,0.0,0.0,0.0,0.0
P2AE_PBA_BT,PBA 9A200,U,1082.0,718.0,1111.0,3053.0,5964.0
P2AE_PBA_BT,PBA 9A650,U,926.0,536.0,704.0,1802.0,3968.0
P2AE_PBA_BT,PBA 9C650,U,136.0,89.0,82.0,314.0,621.0
P2AE_PBA_BT,PBA 9C800,U,1.0,6.0,0.0,0.0,7.0
P2AE_PBA_BT,PBA 9C1000,U,0.0,0.0,0.0,0.0,0.0
P2AE_PBA_BT,PBA 11C650,U,14.0,1.0,11.0,44.0,70.0
P2AE_Cable_HTA,ASTER 54mm²,m,3460.78,1639.13,0.0,916.25,6016.16
P2AE_Cable_HTA,ASTER 75mm²,m,941.0,0.0,0.0,1404.1,2345.1
P2AE_Cable_BT,PRC 70mm²,m,12800.0,10927.27,1975.45,14773.85,40476.57
P2AE_Cable_BT,PRC 50mm²,m,60581.04,35664.97,14933.22,26136.93,137316.16
P2AE_IACM,IACM,U,16.0,7.0,7.0,4.0,34.0
P2AE_DMT,Point Double DMT-CC,U,11.0,0.0,0.0,3.0,14.0
P2AE_TFO,Transformateur 160 kVA,U,8.0,1.0,0.0,0.0,9.0
P2AE_TFO,Transformateur 100 kVA,U,0.0,2.0,0.0,0.0,2.0
P2AE_EP,EP,U,90.0,285.0,0.0,0.0,375.0
P2AE_Terre,Mise à la terre,U,149.0,109.0,0.0,0.0,258.0
