ID_Top_Localite,Rang,ID_Localite,Departement,Commune,Localite,Avancement_HTA_%,Avancement_BT_%,Avancement,Statut
058e9b6b,1,ATA_Nat_10,ATACORA,Natitingou,Yokossi,0.0,1.0,1.0,Terminé
46cfa5e8,2,ATA_Nat_13,ATACORA,Natitingou,Sountchirantikou,0.0,1.0,1.0,Terminé
e290eae0,3,ATA_Nat_02,ATACORA,Natitingou,Winkè,0.889191644,1.0,0.9514659401,En Cours
cd39f596,4,ALI_Gog_05,ALIBORI,Gogounou,Sori-Kpankpanrou,0.8711230417,0.8345533451,0.8505708722,En Cours
d6344559,5,ATA_Nat_11,ATACORA,Natitingou,Tchrimina,0.852209721,0.7714233495,0.8068077802,En Cours
50dc41e9,6,ATA_Nat_03,ATACORA,Natitingou,Yimporima,0.9098978462,0.7243668495,0.805629426,En Cours
fabf33ef,7,BOR_Par_08,BORGOU,Parakou,Kpérou-Guéra,0.8323201793,0.7564570068,0.7896850764,En Cours
f64fbc64,8,ALI_Gog_01,ALIBORI,Gogounou,Wara,0.7684455946,0.7989102865,0.7855667514,En Cours
c3a68e3f,9,ATA_Nat_05,ATACORA,Natitingou,Ouroubouga,0.9555555556,0.6254582108,0.7700408478,En Cours
2ec17c4d,10,ATA_Nat_08,ATACORA,Natitingou,Ouroubonna,0.7666166617,0.7724075612,0.7698711472,En Cours
215bc167,11,BOR_Par_03,BORGOU,Parakou,Zongo,0.7132485,0.7379232555,0.7271157126,En Cours
9c6af0a4,12,ALI_Gog_04,ALIBORI,Gogounou,Sori-Borowanrou,0.6946392414,0.7451119473,0.7230049021,En Cours
526229bb,13,ALI_Kan_02,ALIBORI,Kandi,Albarika,0.5608872316,0.7697729633,0.6782810128,En Cours
a9ef7a98,14,ALI_Kan_04,ALIBORI,Kandi,Ganssoso-Gbiga,0.40566715,0.8619554336,0.6621011654,En Cours
29ef61f5,15,ATA_Nat_04,ATACORA,Natitingou,Kantaborifa,0.63258144,0.684456513,0.661735231,En Cours
e9e0a228,16,ALI_Kan_05,ALIBORI,Kandi,Soundou,0.548079244,0.738404086,0.6550418052,En Cours
630f857d,17,ATA_Nat_01,ATACORA,Natitingou,Kotopounga,0.6358348835,0.6057180363,0.6189092154,En Cours
51dc5a38,18,ALI_Kan_01,ALIBORI,Kandi,Kandi-fô,0.4420000929,0.6233781358,0.543934553,En Cours
8e5b4946,19,DON_Bas_02,DONGA,Bassila,Oké-Igboélé,0.3421095356,0.621095516,0.4988996566,En Cours
