ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-342,e660d565,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,7505.0,6339.9,1165.1000000000004,0.8447568287808127,0.3111,11615.0,0.16980997761515282,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-343,dea88019,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,4110.0,2407.0699999999997,1702.9300000000003,0.585661800486618,0.3111,11615.0,0.06447175867412827,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-341,ddef61fd,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,350.0,298.0,52.0,0.8514285714285714,0.3333,350.0,0.28378114285714284,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-344,4db2fa91,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,2.0,0.0,2.0,0.0,0.0833,2.0,0.0,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-347,495fe90e,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_EP,Travaux BT,EP,fbeef696,U,128.0,53.0,75.0,0.4140625,0.1556,128.0,0.06442812499999999,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-350,a7e789ef,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,253.0,238.0,15.0,0.9407114624505929,0.0467,253.0,0.04393122529644269,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-349,761c4126,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,14.0,14.0,0.0,1.0,0.0333,14.0,0.0333,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-345,90b7e24b,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,2.0,0.0,2.0,0.0,0.0833,2.0,0.0,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-331,58e013f2,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,147.0,137.0,10.0,0.9319727891156463,0.42,251.0,0.22924302788844622,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
HC-332,3a955806,ALI_Kan_02,Albarika,ALIBORI,Kandi,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,84.0,84.0,0.0,1.0,0.42,251.0,0.14055776892430277,En Cours,56.0887231580301,76.97729633468434,67.82810128330978,0
