ID_Detail,ID_Intervention,ID_Geo,ID_Materiel,Mode_Saisie,Quantite,Quantite_Cumulee,Quantite_Nette_Calculee,Date,Filtre_Geo_1,ID_Localite,Localite,Tache,Designation,Anomalie_Signalee
f1799061,2d473a19,,e221b25e,➕ Saisie du jour,160.0,,160.0,2026-04-06,ATACORA,ATA_Nat_01,Kotopounga,P2AE_Fouille_BT,Fouille réseau basse tension,
dd8d3053,da8f88c5,,e221b25e,➕ Saisie du jour,105.0,,105.0,2026-04-06,ATACORA,ATA_Nat_02,Winkè,P2AE_Fouille_BT,Fouille réseau basse tension,
5ce80d1d,1b267324,,e221b25e,➕ Saisie du jour,166.0,,166.0,2026-04-06,ATACORA,ATA_Nat_04,Kantaborifa,P2AE_Fouille_BT,Fouille réseau basse tension,
caf34cee,7a28e6ce,,e221b25e,➕ Saisie du jour,197.0,,197.0,2026-04-06,ATACORA,ATA_Nat_05,Ouroubouga,P2AE_Fouille_BT,Fouille réseau basse tension,
2ef320cf,083dfacd,,e221b25e,➕ Saisie du jour,57.0,,57.0,2026-04-06,ATACORA,ATA_Nat_07,Boriyouré,P2AE_Fouille_BT,Fouille réseau basse tension,
1f349071,50277a1e,,2ec17c4d,➕ Saisie du jour,81.0,,81.0,2026-04-07,ATACORA,ATA_Nat_01,Kotopounga,P2AE_PBA_BT,PBA 9A200,
d362b7e0,3ebb20a6,,9c6af0a4,➕ Saisie du jour,0.0,,0.0,2026-04-07,ATACORA,ATA_Nat_01,Kotopounga,P2AE_PBA_BT,PBA 9C650,
462d1b5e,3ebb20a6,,215ac167,➕ Saisie du jour,60.0,,60.0,2026-04-07,ATACORA,ATA_Nat_01,Kotopounga,P2AE_PBA_BT,PBA 9A650,
2108b435,14e49a73,,8e6b4946,➕ Saisie du jour,2400.0,,2400.0,2026-04-07,ATACORA,ATA_Nat_13,Sountchirantikou,P2AE_Cable_BT,PRC 50mm²,
5bb30124,242b039f,,e221b25e,➕ Saisie du jour,60.0,,60.0,2026-04-07,ATACORA,ATA_Nat_13,Sountchirantikou,P2AE_Fouille_BT,Fouille réseau basse tension,
