ID_Historique,ID_Projet,Localite,Semaine,Num_Semaine,Avancement_HTA_%,Avancement_BT_%,Avancement
77c8c41e,P2AE,Atacora,2026-04-13,S16-2026,5.0,44.0,31.0
ca8ef455,P2AE,Borgou,2026-04-13,S16-2026,0.0,20.0,12.0
1ed9ecf0,P2AE,Donga,2026-04-13,S16-2026,0.0,13.0,7.0
3f3f7fab,P2AE,Alibori,2026-04-13,S16-2026,5.0,30.0,20.0
b1d274c0,P2AE,Toutes,2026-04-13,S16-2026,4.0,28.0,19.0
bc9af2e7,P2AE,Atacora,2026-04-20,S17-2026,7.0,46.0,33.0
d6719480,P2AE,Borgou,2026-04-20,S17-2026,0.0,21.0,12.0
6ad6fed8,P2AE,Donga,2026-04-20,S17-2026,0.0,14.0,8.0
034c7a3e,P2AE,Alibori,2026-04-20,S17-2026,6.0,31.01,21.02
c335d337,P2AE,Toutes,2026-04-20,S17-2026,5.01,29.02,20.01
19076c29,P2AE,Atacora,2026-04-27,S18-2026,7.01,49.01,34.02
f3166d6b,P2AE,Borgou,2026-04-27,S18-2026,0.55,22.05,13.01
f51767d4,P2AE,Donga,2026-04-27,S18-2026,0.86,15.97,9.29
79ff3ee6,P2AE,Alibori,2026-04-27,S18-2026,6.01,33.01,22.01
2bb88615,P2AE,Toutes,2026-04-27,S18-2026,6.1,31.7,21.44
c99f3f5c,P2AE,Atacora,2026-05-04,S19-2026,8.01,53.02,37.01
83a778e3,P2AE,Borgou,2026-05-04,S19-2026,0.55,24.01,14.01
afa02f53,P2AE,Donga,2026-05-04,S19-2026,0.79,16.5,9.57
2b28b4b9,P2AE,Alibori,2026-05-04,S19-2026,7.0,36.8,24.01
2a0c260c,P2AE,Toutes,2026-05-04,S19-2026,6.0,34.01,23.02
d46a2e48,P2AE,Atacora,2026-05-11,S20-2026,11.01,55.01,37.34
2ba7f6b8,P2AE,Borgou,2026-05-11,S20-2026,1.05,24.02,14.01
10a94d53,P2AE,Donga,2026-05-11,S20-2026,0.79,16.5,9.57
9071b7e7,P2AE,Alibori,2026-05-11,S20-2026,9.01,36.8,25.32
3dbaef68,P2AE,Toutes,2026-05-11,S20-2026,6.0,35.0,23.4
84136a22,P2AE,Atacora,2026-05-18,S21-2026,11.0,55.0,37.34
bff7b13a,P2AE,Borgou,2026-05-18,S21-2026,1.05,24.88,14.41
0550baf0,P2AE,Donga,2026-05-18,S21-2026,0.79,16.5,9.57
79f2339c,P2AE,Alibori,2026-05-18,S21-2026,10.58,36.8,26.32
aaf1c1ff,P2AE,Toutes,2026-05-18,S21-2026,6.73,35.33,23.59
2e8518d7,P2AE,Atacora,2026-05-25,S22-2026,12.21,55.12,41.0
d13038eb,P2AE,Borgou,2026-05-25,S22-2026,1.05,27.53,15.59
62d53ffc,P2AE,Donga,2026-05-25,S22-2026,0.79,16.5,9.57
c4dfec87,P2AE,Alibori,2026-05-25,S22-2026,16.24,41.7,30.55
2c240622,P2AE,Toutes,2026-05-25,S22-2026,8.57,35.45,25.0
d36ca77d,P2AE,Atacora,2026-06-01,S23-2026,17.6,56.5,44.0
302514f5,P2AE,Borgou,2026-06-01,S23-2026,2.01,28.01,17.01
d75f1aa4,P2AE,Donga,2026-06-01,S23-2026,0.79,16.5,9.57
91182121,P2AE,Alibori,2026-06-01,S23-2026,21.02,43.5,33.7
2ea2fb63,P2AE,Toutes,2026-06-01,S23-2026,9.69,35.65,25.5
f5cd38d9,P2AE,Donga,2026-06-08,S24-2026,0.79,16.5,9.57
8a099044,P2AE,Alibori,2026-06-08,S24-2026,26.36,43.91,36.18
3c0c06db,P2AE,Atacora,2026-06-08,S24-2026,18.5,57.86,45.64
6cc5f726,P2AE,Borgou,2026-06-08,S24-2026,2.5,29.12,18.0
48d06790,P2AE,Toutes,2026-06-08,S24-2026,10.91,36.18,26.53
6835f63d,P2AE,Donga,2026-06-15,S25-2026,0.79,16.5,9.57
b538663f,P2AE,Alibori,2026-06-15,S25-2026,26.27,45.45,37.09
8cd7ce6d,P2AE,Atacora,2026-06-15,S25-2026,21.79,59.29,47.86
8ce9324a,P2AE,Borgou,2026-06-15,S25-2026,3.25,30.75,19.25
b5d6b1a6,P2AE,Toutes,2026-06-15,S25-2026,11.95,37.33,27.64
964b5940,P2AE,Donga,2026-06-22,S26-2026,0.79,16.5,9.57
34115a2f,P2AE,Alibori,2026-06-22,S26-2026,26.27,48.73,38.91
afe3d5e8,P2AE,Atacora,2026-06-22,S26-2026,21.79,60.29,48.43
815902,P2AE,Borgou,2026-06-22,S26-2026,3.88,32.06,20.38
66135000000000,P2AE,Toutes,2026-06-22,S26-2026,12.13,38.62,28.47
161a60ce,P2AE,Donga,2026-06-29,S27-2026,0.86,16.5,9.64
75196a96,P2AE,Alibori,2026-06-29,S27-2026,26.27,48.73,38.91
b137af3f,P2AE,Atacora,2026-06-29,S27-2026,21.79,61.36,48.93
8670e685,P2AE,Borgou,2026-06-29,S27-2026,5.06,32.88,21.38
877ae437,P2AE,Toutes,2026-06-29,S27-2026,12.49,39.13,28.91
13c4642c,P2AE,Donga,2026-07-06,S28-2026,0.86,16.5,9.64
c2bad134,P2AE,Alibori,2026-07-06,S28-2026,26.27,50.27,39.73
46cff3a4,P2AE,Atacora,2026-07-06,S28-2026,29.93,61.93,52.86
b7913ec9,P2AE,Borgou,2026-07-06,S28-2026,5.81,35.19,23.06
88a521d2,P2AE,Toutes,2026-07-06,S28-2026,14.78,40.25,30.56
bcc983c4,P2AE,Donga,2026-07-13,S29-2026,1.64,19.21,11.57
aae68a7a,P2AE,Alibori,2026-07-13,S29-2026,27.73,51.18,40.91
24ff9f06,P2AE,Atacora,2026-07-13,S29-2026,36.86,62.64,56.21
33969aea,P2AE,Borgou,2026-07-13,S29-2026,7.69,44.31,29.06
238c82e0,P2AE,Toutes,2026-07-13,S29-2026,17.58,43.96,33.89
41968010,P2AE,Donga,2026-07-20,S30-2026,1.64,22.5,13.36
9af44f8f,P2AE,Alibori,2026-07-20,S30-2026,31.73,52.64,43.64
67183f6d,P2AE,Atacora,2026-07-20,S30-2026,36.86,62.64,56.21
8ce8461f,P2AE,Borgou,2026-07-20,S30-2026,12.44,46.44,32.31
f441d09d,P2AE,Toutes,2026-07-20,S30-2026,19.76,45.71,35.84
3dc80041,P2AE,Donga,2026-07-27,S31-2026,2.71,27.29,16.43
0eb18a28,P2AE,Alibori,2026-07-27,S31-2026,37.09,51.91,45.45
8bd8db03,P2AE,Atacora,2026-07-27,S31-2026,40.86,65.21,59.43
c7e779e6,P2AE,Borgou,2026-07-27,S31-2026,14.0,50.31,35.19
197f57a6,P2AE,Toutes,2026-07-27,S31-2026,22.58,48.56,38.64
1d603102,P2AE,Donga,2026-08-03,S32-2026,4.64,28.79,18.21
7b9b16f1,P2AE,Alibori,2026-08-03,S32-2026,37.09,56.64,48.09
5e695a84,P2AE,Atacora,2026-08-03,S32-2026,41.71,67.71,62.29
7ce8e8e0,P2AE,Borgou,2026-08-03,S32-2026,17.19,50.87,36.81
5f29ac09,P2AE,Toutes,2026-08-03,S32-2026,24.22,50.69,40.82
