Département,Commune,ID_Localite,Localite,P2AE_Fouille_HTA,P2AE_Fouille_BT,P2AE_PBA_HTA,P2AE_PBA_BT,P2AE_Cable_HTA,P2AE_Cable_BT,P2AE_IACM,P2AE_DMT,P2AE_TFO,P2AE_EP,P2AE_Terre
DONGA,Bassila,DON_Bas_01,Partago,0,77,3,111,0.0,0.0,0,0,0,0,0
DONGA,Bassila,DON_Bas_02,Oké-Igboélé,34,219,34,210,0.0,5252.98,2,0,0,0,0
DONGA,Bassila,DON_Bas_03,Akaradè,0,105,0,132,0.0,0.0,0,0,0,0,0
DONGA,Bassila,DON_Bas_04,Tchimbéri,0,5,0,12,0.0,0.0,0,0,0,0,0
DONGA,Djougou,DON_Djo_01,Founga,32,669,50,750,0.0,11655.69,4,0,0,0,0
DONGA,Djougou,DON_Djo_02,Alfa-Kpara,0,45,0,42,0.0,0.0,0,0,0,0,0
DONGA,Djougou,DON_Djo_03,Vanhoui,0,164,0,160,0.0,0.0,0,0,0,0,0
DONGA,Djougou,DON_Djo_04,Nagatchori,0,77,22,91,0.0,0.0,1,0,0,0,0
DONGA,Djougou,DON_Djo_05,Danogou,1,78,3,74,0.0,0.0,0,0,0,0,0
DONGA,Ouaké,DON_Oua_01,Bohomdo,0,39,1,63,0.0,0.0,0,0,0,0,0
DONGA,Ouaké,DON_Oua_02,Komtcha,0,50,2,69,0.0,0.0,0,0,0,0,0
DONGA,Ouaké,DON_Oua_03,Itchodè,0,31,2,83,0.0,0.0,0,0,0,0,0
DONGA,Ouaké,DON_Oua_04,Talina,0,46,4,111,0.0,0.0,0,0,0,0,0
DONGA,Ouaké,DON_Oua_05,Trouncare Bas,0,0,0,0,0.0,0.0,0,0,0,0,0
ALIBORI,Gogounou,ALI_Gog_01,Wara,7,110,6,110,75.0,3792.33,1,0,1,40,12
ALIBORI,Gogounou,ALI_Gog_02,Bagou-Sinkparou,0,57,0,57,0.0,0.0,0,0,0,0,0
ALIBORI,Gogounou,ALI_Gog_03,Bagou-Yankpanou,3,37,3,64,0.0,0.0,0,0,0,0,0
ALIBORI,Gogounou,ALI_Gog_04,Sori-Borowanrou,15,302,15,302,469.75,10714.33,2,0,1,47,0
ALIBORI,Gogounou,ALI_Gog_05,Sori-Kpankpanrou,10,215,10,215,366.9,10049.06,1,0,1,78,0
ALIBORI,Kandi,ALI_Kan_01,Kandi-fô,2,48,3,47,75.0,1289.0,1,0,0,0,16
ALIBORI,Kandi,ALI_Kan_02,Albarika,14,238,14,238,298.0,8746.97,0,0,0,53,33
ALIBORI,Kandi,ALI_Kan_03,Kéféré-Senté,5,18,5,18,0.0,0.0,0,0,0,0,0
ALIBORI,Kandi,ALI_Kan_04,Ganssoso-Gbiga,11,205,11,204,146.3,8198.05,2,0,0,67,48
ALIBORI,Kandi,ALI_Kan_05,Soundou,5,51,6,50,150.0,2030.0,0,0,0,0,0
ALIBORI,Kandi,ALI_Kan_06,Fafa,2,46,3,45,58.18,1772.5,0,0,0,0,0
ATACORA,Natitingou,ATA_Nat_01,Kotopounga,31,160,21,158,236.63,3499.0,1,1,0,0,0
ATACORA,Natitingou,ATA_Nat_02,Winkè,3,105,5,104,49.0,4354.0,1,1,1,46,34
ATACORA,Natitingou,ATA_Nat_03,Yimporima,82,526,74,538,2443.0,21354.97,3,3,3,0,2
ATACORA,Natitingou,ATA_Nat_04,Kantaborifa,8,160,11,153,383.0,5081.0,0,0,0,0,9
ATACORA,Natitingou,ATA_Nat_05,Ouroubouga,12,193,14,171,338.0,6755.07,2,2,2,0,0
ATACORA,Natitingou,ATA_Nat_06,Perma-centre,62,266,11,257,180.15,5140.0,3,0,0,0,0
ATACORA,Natitingou,ATA_Nat_07,Boriyouré,0,56,10,44,0.0,1085.0,0,0,0,0,0
ATACORA,Natitingou,ATA_Nat_08,Ouroubonna,3,205,4,204,80.0,7611.0,1,1,0,0,0
ATACORA,Natitingou,ATA_Nat_09,Dassakaté,4,48,0,50,0.0,1180.0,0,0,0,0,0
ATACORA,Natitingou,ATA_Nat_10,Yokossi,0,56,0,55,0.0,2357.0,0,0,0,15,17
ATACORA,Natitingou,ATA_Nat_11,Tchrimina,18,242,18,236,559.0,9839.0,2,1,1,0,56
ATACORA,Natitingou,ATA_Nat_12,Kantchagoutamou,23,29,22,26,108.0,1159.0,2,2,1,0,9
ATACORA,Natitingou,ATA_Nat_13,Sountchirantikou,0,64,0,60,0.0,2390.0,0,0,0,29,22
ATACORA,Natitingou,ATA_Nat_14,Sossouna,20,105,3,103,25.0,1576.0,1,0,0,0,0
BORGOU,Parakou,BOR_Par_01,Assagbinin-Baka,12,74,0,113,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_02,Banikani-Rose-croix,0,227,17,345,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_03,Zongo,8,146,8,146,292.0,5655.0,1,0,0,0,0
BORGOU,Parakou,BOR_Par_04,Guerma,74,459,51,512,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_05,Bahmora,47,406,47,406,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_06,Bawé,32,481,27,481,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_07,Thian,87,934,84,1016,0.0,0.0,0,0,0,0,0
BORGOU,Parakou,BOR_Par_08,Kpérou-Guéra,51,580,53,585,2028.35,26809.58,3,3,0,0,0
BORGOU,Parakou,BOR_Par_09,Okédama,39,728,39,731,0.0,0.0,0,0,0,0,0
BORGOU,N'Dali,BOR_Dal_01,Yankoï,14,86,0,82,0.0,0.0,0,0,0,0,0
BORGOU,N'Dali,BOR_Dal_02,Tounré,0,321,10,347,0.0,0.0,0,0,0,0,0
BORGOU,N'Dali,BOR_Dal_03,Komiguéa,0,156,0,215,0.0,0.0,0,0,0,0,0
BORGOU,Tchaourou,BOR_Tcha_01,Kpakpanin,9,132,9,121,0.0,3758.2,0,0,0,0,0
BORGOU,Tchaourou,BOR_Tcha_02,Sakana-Kpéba,1,32,1,27,0.0,958.0,0,0,0,0,0
BORGOU,Tchaourou,BOR_Tcha_03,Kpessou,0,64,0,61,0.0,2618.0,0,0,0,0,0
BORGOU,Tchaourou,BOR_Tcha_04,Barérou,0,27,0,25,0.0,1112.0,0,0,0,0,0
