ID_Materiel,ID_Tache,Designation,Unité,ATACORA,ALIBORI,DONGA,BORGOU,Total
f03cfc0b,P2AE_Fouille_HTA,Fouille réseau haute tension,U,302.0,140,414,495.0,1351.0
e221b25e,P2AE_Fouille_BT,Fouille réseau basse tension,U,2237.0,1481,2506,5503.0,11727.0
26e8ec03,P2AE_PBA_HTA,PBA 11C650,U,19.0,14,21,31.0,85.0
058e9b6a,P2AE_PBA_HTA,PBA 11A1250,U,19.0,15,25,31.0,90.0
46cfa5f8,P2AE_PBA_HTA,PBA 12A800,U,84.0,21,214,40.0,359.0
e290ece0,P2AE_PBA_HTA,PBA 12A1250,U,0.0,0,2,0.0,2.0
cd39f595,P2AE_PBA_HTA,PBA 13A400,U,105.0,34,87,225.0,451.0
d6344558,P2AE_PBA_HTA,PBA 13C800,U,90.0,33,88,161.0,372.0
50dc40e9,P2AE_PBA_HTA,PBA 13C1250,U,1.0,4,5,7.0,17.0
ffbf33ef,P2AE_PBA_HTA,PBA 14A1000,U,1.0,22,1,27.0,51.0
f74fbc64,P2AE_PBA_HTA,PBA 14C1000,U,0.0,11,1,3.0,15.0
c0a68e3f,P2AE_PBA_HTA,PBA 14C1250,U,0.0,0,0,0.0,0.0
2ec17c4d,P2AE_PBA_BT,PBA 9A200,U,1126.0,773,1346,3144.0,6389.0
215ac167,P2AE_PBA_BT,PBA 9A650,U,930.0,563,828,1903.0,4224.0
9c6af0a4,P2AE_PBA_BT,PBA 9C650,U,142.0,117,237,329.0,825.0
526229bb,P2AE_PBA_BT,PBA 9C800,U,3.0,9,2,6.0,20.0
a99f7a98,P2AE_PBA_BT,PBA 9C1000,U,0.0,0,0,0.0,0.0
29ef61f5,P2AE_PBA_BT,PBA 11C650,U,16.0,4,37,59.0,116.0
e9e0a228,P2AE_Cable_HTA,ASTER 54mm²,m,4838.4,3330,8592,9499.03,26259.43
630f858d,P2AE_Cable_HTA,ASTER 75mm²,m,1550.0,0,0,10470.0,12020.0
59dc5a38,P2AE_Cable_BT,PRC 70mm²,m,31800.0,20531,38184,88360.0,178875.0
8e6b4946,P2AE_Cable_BT,PRC 50mm²,m,75515.0,52675,84252,166938.0,379380.0
21f4f4d7,P2AE_IACM,IACM,U,19.0,14,23,34.0,90.0
a4425df9,P2AE_DMT,Point Double DMT-CC,U,19.0,15,23,32.0,89.0
8ae558c8,P2AE_TFO,Transformateur 160 kVA,U,19.0,11,22,38.0,90.0
152ada8c,P2AE_TFO,Transformateur 100 kVA,U,0.0,4,0,0.0,4.0
fbeef696,P2AE_EP,EP,U,1054.0,684,1105,1827.0,4670.0
002f1a3d,P2AE_Terre,Mise à la terre,U,781.0,488,780,1585.0,3634.0
