ID_Localite,Departement,Commune,Localite,Avancement_HTA_%,Avancement_BT_%,Avancement,Statut,A_Travaux_HTA,A_Travaux_BT
DON_Bas_01,DONGA,Bassila,Partago,0.2250225023,0.3636595052,0.3029364979,En Cours,True,True
DON_Bas_02,DONGA,Bassila,Oké-Igboélé,0.34210953562888746,0.6210955160382454,0.49889965661894664,En Cours,True,True
DON_Bas_03,DONGA,Bassila,Akaradè,0.0,0.19737165627699524,0.11092287082767134,En Cours,True,True
DON_Bas_04,DONGA,Bassila,Tchimbéri,0.0,0.3766409073378377,0.21167218992386483,En Cours,True,True
DON_Djo_01,DONGA,Djougou,Founga,0.21731773177317731,0.5330352316135003,0.39475096668343884,En Cours,True,True
DON_Djo_02,DONGA,Djougou,Alfa-Kpara,0.0,0.2780214936252854,0.1562480794174104,En Cours,True,True
DON_Djo_03,DONGA,Djougou,Vanhoui,0.0,0.4252915617529156,0.23901385770513858,En Cours,True,True
DON_Djo_04,DONGA,Djougou,Nagatchori,0.32777722216666105,0.44480551944805524,0.39354712523880464,En Cours,True,True
DON_Djo_05,DONGA,Djougou,Danogou,0.021881128999599462,0.461053894610539,0.26869622327294745,En Cours,True,True
DON_Oua_01,DONGA,Ouaké,Bohomdo,0.021430714500021427,0.266153298906816,0.15896480693663997,En Cours,True,True
DON_Oua_02,DONGA,Ouaké,Komtcha,0.05455090963641819,0.34368184803141305,0.2170424970144053,En Cours,True,True
DON_Oua_03,DONGA,Ouaké,Itchodè,0.12001200120012001,0.3165615488726069,0.23047284699205767,En Cours,True,True
DON_Oua_04,DONGA,Ouaké,Talina,0.057148572000057136,0.25107914531035624,0.16613755420044524,En Cours,True,True
DON_Oua_05,DONGA,Ouaké,Trouncare Bas,0.0,0.0,0.0,Non Démarré,True,True
ALI_Gog_01,ALIBORI,Gogounou,Wara,0.7684455945594558,0.7989102864671761,0.7855667514115947,En Cours,True,True
ALI_Gog_02,ALIBORI,Gogounou,Bagou-Sinkparou,0.0,0.3320797549874643,0.18662882230295494,En Cours,True,True
ALI_Gog_03,ALIBORI,Gogounou,Bagou-Yankpanou,0.07197752742307197,0.27227371602462397,0.1845439854171442,En Cours,True,True
ALI_Gog_04,ALIBORI,Gogounou,Sori-Borowanrou,0.6946392413862598,0.7451119472571522,0.7230049020857013,En Cours,True,True
ALI_Gog_05,ALIBORI,Gogounou,Sori-Kpankpanrou,0.8711230417159364,0.8345533451262986,0.85057087223256,En Cours,True,True
ALI_Kan_01,ALIBORI,Kandi,Kandi-fô,0.44200009286642944,0.6233781358456465,0.5439345530207494,En Cours,True,True
ALI_Kan_02,ALIBORI,Kandi,Albarika,0.560887231580301,0.7697729633468434,0.6782810128330978,En Cours,True,True
ALI_Kan_03,ALIBORI,Kandi,Kéféré-Senté,0.21130684497021132,0.25378905959671416,0.23518184959030594,En Cours,True,True
ALI_Kan_04,ALIBORI,Kandi,Ganssoso-Gbiga,0.40566715004833814,0.8619554336323075,0.6621011654225291,En Cours,True,True
ALI_Kan_05,ALIBORI,Kandi,Soundou,0.548079244014627,0.7384040859838598,0.6550418052013358,En Cours,True,True
ALI_Kan_06,ALIBORI,Kandi,Fafa,0.2510427207426625,0.5757784997060518,0.43354422852008734,En Cours,True,True
ATA_Nat_01,ATACORA,Natitingou,Kotopounga,0.6358348834883488,0.60571803628577,0.6189092153604996,En Cours,True,True
ATA_Nat_02,ATACORA,Natitingou,Winkè,0.8891916439600362,1.0,0.9514659400544959,En Cours,True,True
ATA_Nat_03,ATACORA,Natitingou,Yimporima,0.9098978461648498,0.7243668495014838,0.8056294260400381,En Cours,True,True
ATA_Nat_04,ATACORA,Natitingou,Kantaborifa,0.6325814399621779,0.6844565130450103,0.6617352310347298,En Cours,True,True
ATA_Nat_05,ATACORA,Natitingou,Ouroubouga,0.9555555555555556,0.6254582108199951,0.7700408478141707,En Cours,True,True
ATA_Nat_06,ATACORA,Natitingou,Perma-centre,0.4075859693661673,0.5628892944620785,0.49486643807006947,En Cours,True,True
ATA_Nat_07,ATACORA,Natitingou,Boriyouré,0.2000200020002,0.5212373740244695,0.38054416507783945,En Cours,True,True
ATA_Nat_08,ATACORA,Natitingou,Ouroubonna,0.7666166616661666,0.7724075612047673,0.7698711472068602,En Cours,True,True
ATA_Nat_09,ATACORA,Natitingou,Dassakaté,0.026642664266426648,0.6011415051627567,0.3495110128501641,En Cours,True,True
ATA_Nat_10,ATACORA,Natitingou,Yokossi,0.0,1.0,1.0,Terminé,False,True
ATA_Nat_11,ATACORA,Natitingou,Tchrimina,0.8522097209720972,0.7714233495212001,0.8068077802166931,En Cours,True,True
ATA_Nat_12,ATACORA,Natitingou,Kantchagoutamou,0.4622829854414012,0.5011965703991724,0.48415242018766863,En Cours,True,True
ATA_Nat_13,ATACORA,Natitingou,Sountchirantikou,0.0,1.0,1.0,Terminé,False,True
ATA_Nat_14,ATACORA,Natitingou,Sossouna,0.2352306659237352,0.538917934605821,0.4059029109230675,En Cours,True,True
