Departement,Semaine,Num_Semaine,Jours_Ecoules_Depuis_Debut_Chantier,Jours_Avant_Fin_Contractuelle,Avancement_HTA_%,Avancement_BT_%,Avancement,Avancement_Theorique_Global_pct,Ecart_Avancement_Global_pct
ALIBORI,2026-04-13,S16-2026,511.0,159.0,5.0,30.0,20.0,76.26865671641791,-56.26865671641791
ALIBORI,2026-04-20,S17-2026,518.0,152.0,6.0,31.01,21.02,77.31343283582089,-56.293432835820894
ALIBORI,2026-04-27,S18-2026,525.0,145.0,6.01,33.01,22.01,78.35820895522389,-56.34820895522388
ALIBORI,2026-05-04,S19-2026,532.0,138.0,7.0,36.8,24.01,79.40298507462687,-55.392985074626864
ALIBORI,2026-05-11,S20-2026,539.0,131.0,9.01,36.8,25.32,80.44776119402985,-55.12776119402985
ALIBORI,2026-05-18,S21-2026,546.0,124.0,10.58,36.8,26.32,81.49253731343283,-55.172537313432834
ALIBORI,2026-05-25,S22-2026,553.0,117.0,16.24,41.7,30.55,82.53731343283582,-51.98731343283582
ALIBORI,2026-06-01,S23-2026,560.0,110.0,21.02,43.5,33.7,83.58208955223881,-49.88208955223881
ALIBORI,2026-06-08,S24-2026,567.0,103.0,26.36,43.91,36.18,84.6268656716418,-48.4468656716418
ALIBORI,2026-06-15,S25-2026,574.0,96.0,26.27,45.45,37.09,85.67164179104478,-48.58164179104477
ALIBORI,2026-06-22,S26-2026,581.0,89.0,26.27,48.73,38.91,86.71641791044776,-47.80641791044776
ALIBORI,2026-06-29,S27-2026,588.0,82.0,26.27,48.73,38.91,87.76119402985074,-48.851194029850745
ALIBORI,2026-07-06,S28-2026,595.0,75.0,26.27,50.27,39.73,88.80597014925372,-49.07597014925373
ALIBORI,2026-07-13,S29-2026,602.0,68.0,27.73,51.18,40.91,89.85074626865672,-48.94074626865672
ALIBORI,2026-07-20,S30-2026,609.0,61.0,31.73,52.64,43.64,90.8955223880597,-47.2555223880597
ALIBORI,2026-07-27,S31-2026,616.0,54.0,37.09,51.91,45.45,91.94029850746269,-46.49029850746268
ALIBORI,2026-08-03,S32-2026,623.0,47.0,37.09,56.64,48.09,92.98507462686568,-44.895074626865664
ALIBORI,2026-08-10,S33-2026,630.0,40.0,43.73,58.18,51.91,94.02985074626864,-42.11985074626865
ALIBORI,2026-08-17,S34-2026,637.0,33.0,43.82,61.82,54.0,95.07462686567165,-41.07462686567165
ALIBORI,2026-08-24,S35-2026,644.0,26.0,43.82,61.82,54.0,96.11940298507464,-42.11940298507463
ATACORA,2026-04-13,S16-2026,511.0,124.0,5.0,44.0,31.0,80.4724409448819,-49.472440944881896
ATACORA,2026-04-20,S17-2026,518.0,117.0,7.0,46.0,33.0,81.5748031496063,-48.574803149606296
ATACORA,2026-04-27,S18-2026,525.0,110.0,7.01,49.01,34.02,82.67716535433071,-48.65716535433071
ATACORA,2026-05-04,S19-2026,532.0,103.0,8.01,53.02,37.01,83.77952755905511,-46.76952755905511
ATACORA,2026-05-11,S20-2026,539.0,96.0,11.01,55.01,37.34,84.88188976377953,-47.54188976377952
ATACORA,2026-05-18,S21-2026,546.0,89.0,11.0,55.0,37.34,85.98425196850394,-48.64425196850394
ATACORA,2026-05-25,S22-2026,553.0,82.0,12.21,55.12,41.0,87.08661417322834,-46.08661417322834
ATACORA,2026-06-01,S23-2026,560.0,75.0,17.6,56.5,44.0,88.18897637795276,-44.18897637795276
ATACORA,2026-06-08,S24-2026,567.0,68.0,18.5,57.86,45.64,89.29133858267717,-43.65133858267717
ATACORA,2026-06-15,S25-2026,574.0,61.0,21.79,59.29,47.86,90.39370078740156,-42.53370078740157
ATACORA,2026-06-22,S26-2026,581.0,54.0,21.79,60.29,48.43,91.496062992126,-43.06606299212599
