ID_Localite,Localite,Departement,Commune,Statut,Avancement_HTA,Avancement_BT,Nb_Anomalies,Nb_Lignes_Materiel,Prop_Non_Commencees,Cluster
ALI_Gog_01,Localite_050,ALIBORI,Commune_C,En Cours,76.84455945594559,79.89102864671761,0,18,0.2222222222222222,2
ALI_Gog_02,Localite_005,ALIBORI,Commune_C,En Cours,0.0,33.20797549874643,0,18,0.8333333333333334,1
ALI_Gog_03,Localite_006,ALIBORI,Commune_C,En Cours,7.1977527423071965,27.2273716024624,0,18,0.6666666666666666,1
ALI_Gog_04,Localite_038,ALIBORI,Commune_C,En Cours,69.46392413862597,74.51119472571523,0,22,0.22727272727272727,2
ALI_Gog_05,Localite_039,ALIBORI,Commune_C,En Cours,87.11230417159364,83.45533451262986,0,18,0.1111111111111111,2
ALI_Kan_01,Localite_020,ALIBORI,Commune_D,En Cours,44.20000928664295,62.33781358456465,0,21,0.3333333333333333,2
ALI_Kan_02,Localite_002,ALIBORI,Commune_D,En Cours,56.0887231580301,76.97729633468434,0,21,0.19047619047619047,2
ALI_Kan_03,Localite_029,ALIBORI,Commune_D,En Cours,21.13068449702113,25.378905959671417,0,19,0.5263157894736842,1
ALI_Kan_04,Localite_017,ALIBORI,Commune_D,En Cours,40.56671500483382,86.19554336323075,0,21,0.19047619047619047,2
ALI_Kan_05,Localite_041,ALIBORI,Commune_D,En Cours,54.80792440146271,73.84040859838598,0,19,0.3157894736842105,2
ALI_Kan_06,Localite_015,ALIBORI,Commune_D,En Cours,25.104272074266248,57.57784997060518,0,20,0.4,1
ATA_Nat_01,Localite_025,ATACORA,Commune_F,En Cours,63.58348834883488,60.571803628577,0,20,0.25,2
ATA_Nat_02,Localite_051,ATACORA,Commune_F,En Cours,88.91916439600362,100.0,0,18,0.0,2
ATA_Nat_03,Localite_053,ATACORA,Commune_F,En Cours,90.98978461648498,72.43668495014838,0,21,0.047619047619047616,2
ATA_Nat_04,Localite_021,ATACORA,Commune_F,En Cours,63.25814399621778,68.44565130450103,1,20,0.3,3
ATA_Nat_05,Localite_034,ATACORA,Commune_F,En Cours,95.55555555555556,62.54582108199951,0,19,0.10526315789473684,2
ATA_Nat_06,Localite_036,ATACORA,Commune_F,En Cours,40.75859693661673,56.288929446207845,1,18,0.2222222222222222,3
ATA_Nat_07,Localite_012,ATACORA,Commune_F,En Cours,20.00200020002,52.12373740244695,0,19,0.47368421052631576,1
ATA_Nat_08,Localite_033,ATACORA,Commune_F,En Cours,76.66166616661666,77.24075612047673,1,18,0.2222222222222222,3
ATA_Nat_09,Localite_014,ATACORA,Commune_F,En Cours,2.6642664266426648,60.114150516275664,0,16,0.625,1
ATA_Nat_10,Localite_054,ATACORA,Commune_F,Terminé,0.0,100.0,0,8,0.0,0
ATA_Nat_11,Localite_045,ATACORA,Commune_F,En Cours,85.22097209720972,77.14233495212001,0,18,0.05555555555555555,2
ATA_Nat_12,Localite_022,ATACORA,Commune_F,En Cours,46.22829854414012,50.11965703991724,0,18,0.05555555555555555,2
ATA_Nat_13,Localite_042,ATACORA,Commune_F,Terminé,0.0,100.0,0,7,0.0,0
ATA_Nat_14,Localite_040,ATACORA,Commune_F,En Cours,23.52306659237352,53.89179346058211,0,19,0.42105263157894735,1
BOR_Dal_01,Localite_052,BORGOU,Commune_E,En Cours,6.2172434486897385,42.72483862724839,0,17,0.7058823529411765,1
BOR_Dal_02,Localite_047,BORGOU,Commune_E,En Cours,32.73250992886135,44.38489943983091,0,18,0.5,1
BOR_Dal_03,Localite_023,BORGOU,Commune_E,En Cours,0.0,40.14689440146895,0,9,0.5555555555555556,0
BOR_Par_01,Localite_004,BORGOU,Commune_H,En Cours,3.0741535692030744,33.97160283971603,0,18,0.7222222222222222,1
BOR_Par_02,Localite_008,BORGOU,Commune_H,En Cours,21.252125212521246,42.007665696667765,0,19,0.5789473684210527,1
BOR_Par_03,Localite_055,BORGOU,Commune_H,En Cours,71.32484999912421,73.79232554578647,0,18,0.2222222222222222,2
BOR_Par_04,Localite_018,BORGOU,Commune_H,En Cours,24.42619261926192,44.25419821354693,0,22,0.5454545454545454,1
BOR_Par_05,Localite_007,BORGOU,Commune_H,En Cours,31.533153315331536,46.289292902314216,0,21,0.47619047619047616,1
BOR_Par_06,Localite_010,BORGOU,Commune_H,En Cours,15.371010785289055,46.665333466653344,1,19,0.47368421052631576,3
BOR_Par_07,Localite_046,BORGOU,Commune_H,En Cours,26.754200346720893,44.11733310721461,1,21,0.42857142857142855,3
BOR_Par_08,Localite_028,BORGOU,Commune_H,En Cours,83.23201792541063,75.64570068410201,0,20,0.15,2
BOR_Par_09,Localite_032,BORGOU,Commune_H,En Cours,18.98763925305574,43.74166690248493,0,22,0.5,1
BOR_Tcha_01,Localite_026,BORGOU,Commune_I,En Cours,8.850243313101362,63.92236720632079,0,21,0.42857142857142855,1
BOR_Tcha_02,Localite_037,BORGOU,Commune_I,En Cours,2.3992509141023985,58.75012498750125,0,18,0.5555555555555556,1
BOR_Tcha_03,Localite_027,BORGOU,Commune_I,En Cours,0.0,64.18248485199665,0,13,0.46153846153846156,0
BOR_Tcha_04,Localite_009,BORGOU,Commune_I,En Cours,0.0,72.79136134724897,0,11,0.5454545454545454,0
DON_Bas_01,Localite_035,DONGA,Commune_A,En Cours,22.50225023,36.36595052,0,18,0.6666666666666666,1
DON_Bas_02,Localite_031,DONGA,Commune_A,En Cours,34.21095356288875,62.10955160382454,1,21,0.3333333333333333,3
DON_Bas_03,Localite_001,DONGA,Commune_A,En Cours,0.0,19.737165627699525,0,19,0.7894736842105263,1
DON_Bas_04,Localite_044,DONGA,Commune_A,En Cours,0.0,37.66409073378377,0,18,0.8333333333333334,1
DON_Djo_01,Localite_016,DONGA,Commune_B,En Cours,21.73177317731773,53.30352316135003,0,20,0.25,1
DON_Djo_02,Localite_003,DONGA,Commune_B,En Cours,0.0,27.80214936252854,0,13,0.6923076923076923,1
DON_Djo_03,Localite_049,DONGA,Commune_B,En Cours,0.0,42.52915617529156,0,18,0.7777777777777778,1
DON_Djo_04,Localite_030,DONGA,Commune_B,En Cours,32.777722216666106,44.480551944805526,0,19,0.5263157894736842,1
DON_Djo_05,Localite_013,DONGA,Commune_B,En Cours,2.1881128999599464,46.105389461053896,0,18,0.6111111111111112,1
DON_Oua_01,Localite_011,DONGA,Commune_G,En Cours,2.1430714500021426,26.6153298906816,0,18,0.7222222222222222,1
DON_Oua_02,Localite_024,DONGA,Commune_G,En Cours,5.455090963641819,34.368184803141304,0,19,0.7368421052631579,1
DON_Oua_03,Localite_019,DONGA,Commune_G,En Cours,12.001200120012,31.65615488726069,0,17,0.7058823529411765,1
DON_Oua_04,Localite_043,DONGA,Commune_G,En Cours,5.714857200005714,25.107914531035625,0,19,0.7368421052631579,1
DON_Oua_05,Localite_048,DONGA,Commune_G,Non Démarré,0.0,0.0,0,19,1.0,1
