Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power_kw,thermal_stress,Type_encoded
298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.951590560157349,72.99170088165216,1
298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826722724152668,71.68058860360301,0
298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7.749387542560966,80.59363044263388,0
298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.9275046589156615,61.64604845272308,0
298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897816608339239,61.92707438756201,0
298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252554778807085,65.6518251774744,1
298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917703247400628,72.6358840977066,0
298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.428264055922363,67.49677258718481,0
298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4.992639989035924,51.923455885973496,1
298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104878622573175,53.60122553701834,1
298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.459993426595285,46.82993097925049,2
298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.601418171012719,69.31489079563356,2
298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.16522933257697,75.23490799205818,1
298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472654402553419,58.01013666706606,1
298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.176852152702749,44.274632818649,0
298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.815528539894544,82.8446025228819,0
298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397602111623327,67.81458238320704,1
298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.733061375173644,70.69714443932327,1
298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7.453638010152024,77.51783530558087,2
298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.554335811546754,57.765092440086434,1
298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.148358622463025,63.94292967361567,2
298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802595292573098,71.42725057201753,0
298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.082751338316391,52.860613918490635,1
299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4.731301368159301,49.20553422885662,0
299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6.097339157768726,63.41232724079461,1
299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540784717670103,47.678239535536086,0
299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6.1751145198960975,64.22119100691927,0
299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4.6653279224339155,48.05287760106912,2
299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6.660574360679817,68.6039159150018,0
