ID_Detail,ID_Intervention,ID_Materiel,Mode_Saisie,Quantite,Quantite_Cumulee,Quantite_Nette_Calculee,Date,Tache,Designation,Anomalie_Signalee
DET_00001,INT_0001,MAT_POTEAU_BT,➕ Saisie du jour,69,69,69,2026-05-20,TASK_PBA_BT,Poteau béton armé BT,
DET_00002,INT_0002,MAT_POTEAU_BT,🎯 Cumul total à date,44,113,44,2026-06-09,TASK_PBA_BT,Poteau béton armé BT,
DET_00003,INT_0003,MAT_FOUILLE_BT,➕ Saisie du jour,55,55,55,2026-07-17,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00004,INT_0004,MAT_FOUILLE_HTA,➕ Saisie du jour,3,3,3,2026-08-02,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00005,INT_0005,MAT_FOUILLE_HTA,➕ Saisie du jour,9,12,9,2026-08-20,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00006,INT_0006,MAT_FOUILLE_BT,➕ Saisie du jour,19,74,19,2026-08-20,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00007,INT_0007,MAT_POTEAU_HTA,➕ Saisie du jour,1,1,1,2026-06-28,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00008,INT_0008,MAT_POTEAU_HTA,➕ Saisie du jour,5,6,5,2026-06-29,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00009,INT_0009,MAT_POTEAU_HTA,➕ Saisie du jour,3,9,3,2026-07-20,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00010,INT_0009,MAT_FOUILLE_HTA,➕ Saisie du jour,9,9,9,2026-07-20,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00011,INT_0010,MAT_FOUILLE_BT,🎯 Cumul total à date,19,19,19,2026-07-20,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00012,INT_0011,MAT_POTEAU_BT,➕ Saisie du jour,121,121,121,2026-08-11,TASK_PBA_BT,Poteau béton armé BT,
DET_00013,INT_0011,MAT_FOUILLE_BT,➕ Saisie du jour,35,54,35,2026-08-11,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00014,INT_0012,MAT_CABLE_BT,➕ Saisie du jour,3758,3758,3758,2026-08-16,TASK_Cable_BT,Câble BT,
