ID_Localite,ID_Projet,ID_Geo,Numero,Nom_Geo_1,Nom_Geo_2,Localite,Coordonnees_GPS,Actif
Site_01,DEMO_PROJ_01,5,1,BORGOU,Commune_C,Site_01,,True
Site_02,DEMO_PROJ_01,6,2,BORGOU,Commune_I,Site_02,,True
Site_03,DEMO_PROJ_01,3,3,ATACORA,Commune_H,Site_03,,True
Site_04,DEMO_PROJ_01,3,4,ATACORA,Commune_H,Site_04,,True
Site_05,DEMO_PROJ_01,2,5,ALIBORI,Commune_A,Site_05,,True
Site_06,DEMO_PROJ_01,3,6,ATACORA,Commune_H,Site_06,,True
Site_07,DEMO_PROJ_01,4,7,BORGOU,Commune_E,Site_07,,True
Site_08,DEMO_PROJ_01,9,8,DONGA,Commune_F,Site_08,,True
Site_09,DEMO_PROJ_01,2,9,ALIBORI,Commune_A,Site_09,,True
Site_10,DEMO_PROJ_01,6,10,BORGOU,Commune_I,Site_10,,True
Site_11,DEMO_PROJ_01,9,11,DONGA,Commune_F,Site_11,,True
Site_12,DEMO_PROJ_01,2,12,ALIBORI,Commune_A,Site_12,,True
Site_13,DEMO_PROJ_01,1,13,ALIBORI,Commune_D,Site_13,,True
Site_14,DEMO_PROJ_01,4,14,BORGOU,Commune_E,Site_14,,True
Site_15,DEMO_PROJ_01,5,15,BORGOU,Commune_C,Site_15,,True
Site_16,DEMO_PROJ_01,3,16,ATACORA,Commune_H,Site_16,,True
Site_17,DEMO_PROJ_01,5,17,BORGOU,Commune_C,Site_17,,True
Site_18,DEMO_PROJ_01,3,18,ATACORA,Commune_H,Site_18,,True
Site_19,DEMO_PROJ_01,3,19,ATACORA,Commune_H,Site_19,,True
Site_20,DEMO_PROJ_01,8,20,DONGA,Commune_G,Site_20,,True
Site_21,DEMO_PROJ_01,7,21,DONGA,Commune_B,Site_21,,True
Site_22,DEMO_PROJ_01,1,22,ALIBORI,Commune_D,Site_22,,True
Site_23,DEMO_PROJ_01,8,23,DONGA,Commune_G,Site_23,,True
Site_24,DEMO_PROJ_01,1,24,ALIBORI,Commune_D,Site_24,,True
Site_25,DEMO_PROJ_01,4,25,BORGOU,Commune_E,Site_25,,True
Site_26,DEMO_PROJ_01,3,26,ATACORA,Commune_H,Site_26,,True
Site_27,DEMO_PROJ_01,5,27,BORGOU,Commune_C,Site_27,,True
Site_28,DEMO_PROJ_01,3,28,ATACORA,Commune_H,Site_28,,True
Site_29,DEMO_PROJ_01,6,29,BORGOU,Commune_I,Site_29,,True
Site_30,DEMO_PROJ_01,2,30,ALIBORI,Commune_A,Site_30,,True
Site_31,DEMO_PROJ_01,5,31,BORGOU,Commune_C,Site_31,,True
Site_32,DEMO_PROJ_01,5,32,BORGOU,Commune_C,Site_32,,True
Site_33,DEMO_PROJ_01,9,33,DONGA,Commune_F,Site_33,,True
Site_34,DEMO_PROJ_01,3,34,ATACORA,Commune_H,Site_34,,True
Site_35,DEMO_PROJ_01,1,35,ALIBORI,Commune_D,Site_35,,True
Site_36,DEMO_PROJ_01,5,36,BORGOU,Commune_C,Site_36,,True
Site_37,DEMO_PROJ_01,5,37,BORGOU,Commune_C,Site_37,,True
Site_38,DEMO_PROJ_01,2,38,ALIBORI,Commune_A,Site_38,,True
Site_39,DEMO_PROJ_01,9,39,DONGA,Commune_F,Site_39,,True
Site_40,DEMO_PROJ_01,3,40,ATACORA,Commune_H,Site_40,,True
Site_41,DEMO_PROJ_01,2,41,ALIBORI,Commune_A,Site_41,,True
Site_42,DEMO_PROJ_01,6,42,BORGOU,Commune_I,Site_42,,True
Site_43,DEMO_PROJ_01,3,43,ATACORA,Commune_H,Site_43,,True
Site_44,DEMO_PROJ_01,7,44,DONGA,Commune_B,Site_44,,True
Site_45,DEMO_PROJ_01,7,45,DONGA,Commune_B,Site_45,,True
Site_46,DEMO_PROJ_01,3,46,ATACORA,Commune_H,Site_46,,True
Site_47,DEMO_PROJ_01,3,47,ATACORA,Commune_H,Site_47,,True
Site_48,DEMO_PROJ_01,5,48,BORGOU,Commune_C,Site_48,,True
Site_49,DEMO_PROJ_01,1,49,ALIBORI,Commune_D,Site_49,,True
Site_50,DEMO_PROJ_01,8,50,DONGA,Commune_G,Site_50,,True
Site_51,DEMO_PROJ_01,8,51,DONGA,Commune_G,Site_51,,True
Site_52,DEMO_PROJ_01,8,52,DONGA,Commune_G,Site_52,,True
Site_53,DEMO_PROJ_01,3,53,ATACORA,Commune_H,Site_53,,True
Site_54,DEMO_PROJ_01,9,54,DONGA,Commune_F,Site_54,,True
Site_55,DEMO_PROJ_01,7,55,DONGA,Commune_B,Site_55,,True
