ID_Objectif,ID_Projet,ID_Geo,Nom_Geo_1,Nom_Geo_2,ID_Localite,ID_Tache,Designation,Quantite_Prevue,ID_Materiel
OBJ_0001,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_BT,Poteau béton armé BT,2.0,MAT_POTEAU_BT
OBJ_0002,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_BT,Poteau béton armé BT,80.0,MAT_POTEAU_BT
OBJ_0003,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_BT,Poteau béton armé BT,59.0,MAT_POTEAU_BT
OBJ_0004,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_BT,Poteau béton armé BT,16.0,MAT_POTEAU_BT
OBJ_0005,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_BT,Poteau béton armé BT,1.0,MAT_POTEAU_BT
OBJ_0006,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_HTA,Poteau béton armé HTA,1.0,MAT_POTEAU_HTA
OBJ_0007,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_HTA,Poteau béton armé HTA,1.0,MAT_POTEAU_HTA
OBJ_0008,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_HTA,Poteau béton armé HTA,16.0,MAT_POTEAU_HTA
OBJ_0009,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_PBA_HTA,Poteau béton armé HTA,13.0,MAT_POTEAU_HTA
OBJ_0010,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_Cable_HTA,Câble HTA,330.0,MAT_CABLE_HTA
OBJ_0011,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_Cable_BT,Câble BT,5080.0,MAT_CABLE_BT
OBJ_0012,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_Cable_BT,Câble BT,2600.0,MAT_CABLE_BT
OBJ_0013,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_DMT,Disjoncteur de poteau DMT-CC,1.0,MAT_DISJONCTEUR
OBJ_0014,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_IACM,Armement IACM,1.0,MAT_ARMEMENT
OBJ_0015,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_TFO,Transformateur HTA/BT,1.0,MAT_TRANSFO
OBJ_0016,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_EP,Luminaire éclairage public,94.0,MAT_LUMINAIRE_EP
OBJ_0017,DEMO_PROJ_01,3,ATACORA,Commune_H,Site_43,TASK_Terre,Prise de terre,62.0,MAT_PRISE_TERRE
