Departement,Phase,Date_Debut,Date_Fin
ATACORA,Remise_Site,2025-11-17,2025-11-21
ATACORA,Etudes_Execution,2025-12-01,2026-01-30
ATACORA,Piquetage_Fouille,2026-01-05,2026-03-13
ATACORA,Implantation_Supports,2026-02-16,2026-05-02
ATACORA,Deroulage_Cables,2026-04-06,2026-06-27
ATACORA,Equipement_Poste,2026-06-08,2026-07-25
ATACORA,Receptions,2026-07-27,2026-08-14
ALIBORI,Remise_Site,2025-11-17,2025-11-21
ALIBORI,Etudes_Execution,2025-12-15,2026-02-27
ALIBORI,Piquetage_Fouille,2026-02-02,2026-04-24
ALIBORI,Implantation_Supports,2026-03-16,2026-06-13
ALIBORI,Deroulage_Cables,2026-05-25,2026-08-15
ALIBORI,Equipement_Poste,2026-07-27,2026-09-19
ALIBORI,Receptions,2026-09-21,2026-10-09
BORGOU,Remise_Site,2025-11-17,2025-11-21
BORGOU,Etudes_Execution,2026-01-05,2026-03-20
BORGOU,Piquetage_Fouille,2026-03-02,2026-06-19
BORGOU,Implantation_Supports,2026-05-04,2026-08-08
BORGOU,Deroulage_Cables,2026-07-13,2026-10-03
BORGOU,Equipement_Poste,2026-09-14,2026-11-07
BORGOU,Receptions,2026-11-09,2026-11-27
DONGA,Remise_Site,2025-11-17,2025-11-21
DONGA,Etudes_Execution,2026-02-02,2026-04-17
DONGA,Piquetage_Fouille,2026-04-06,2026-06-30
DONGA,Implantation_Supports,2026-06-08,2026-09-19
DONGA,Deroulage_Cables,2026-08-24,2026-11-14
DONGA,Equipement_Poste,2026-10-26,2026-12-19
DONGA,Receptions,2026-12-21,2027-01-15
